"성별","연령계층별",1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"계","계",9617,9946,10379,10942,11421,11691,12412,12812,13412,13602,13683,14023,14379,14505,14429,14970,15505,16354,16869,17560,18085,18649,19009,19234,19848,20414,20853,21214,19938,20291,21173,21614,22232,22222,22682,22831,23188,23561,23775,23688,24033,24527,24955,25299,25897,26178,26409,26725,26822,27123,26904,27273,28089,28416
"계","15 - 29세",-,-,-,-,-,-,-,-,-,-,4547,4573,4771,4710,4656,4702,4832,4990,4911,5010,5022,5496,5421,5280,5349,5443,5420,5349,4733,4691,4881,4829,4822,4644,4610,4485,4331,4266,4138,3992,3930,3907,3837,3728,3802,3864,3908,3907,3904,3945,3763,3877,3996,3899
"계","15 - 19세",1287,1181,1376,1482,1452,1388,1436,1457,1346,1178,1035,908,821,723,654,634,631,679,598,612,580,568,528,477,456,421,400,385,331,351,388,356,311,271,258,241,205,205,189,179,207,228,233,225,245,245,244,247,205,198,162,171,179,163
"계","20 - 29세",2051,2110,2215,2344,2497,2716,3002,3070,3242,3360,3512,3665,3950,3987,4002,4068,4201,4311,4313,4398,4442,4928,4893,4802,4892,5022,5021,4964,4401,4340,4493,4472,4510,4374,4352,4244,4126,4062,3950,3813,3724,3679,3605,3504,3556,3619,3664,3660,3699,3747,3601,3706,3818,3736
"계","30 - 39세",2645,2810,2865,2973,3034,3061,3140,3373,3463,3494,3468,3473,3566,3697,3714,3990,4212,4529,4731,4848,5060,5616,5779,5973,6151,6238,6345,6396,6018,6018,6145,6185,6246,6233,6253,6207,6251,6188,6133,5912,5920,5880,5883,5840,5805,5729,5672,5643,5582,5529,5364,5257,5303,5357
"계","40 - 49세",2063,2086,2117,2192,2331,2396,2557,2781,3030,3117,3188,3338,3295,3338,3337,3366,3380,3527,3677,3813,3910,3644,3716,3836,4020,4272,4512,4713,4644,4888,5285,5572,5872,6050,6241,6307,6442,6561,6630,6620,6655,6718,6748,6771,6896,6892,6832,6783,6666,6504,6346,6311,6314,6260
"계","50 - 59세",1133,1239,1298,1380,1495,1533,1574,1538,1668,1731,1766,1862,1940,1937,1902,2034,2133,2257,2461,2690,2816,2667,2761,2787,2842,2858,2863,2923,2786,2829,2902,2964,3097,3161,3310,3507,3740,3987,4255,4473,4789,5145,5416,5704,5947,6068,6150,6302,6346,6444,6356,6422,6618,6678
"계","60세이상",438,520,508,571,612,598,703,593,663,722,716,779,809,822,822,879,946,1051,1091,1200,1277,1226,1332,1358,1486,1604,1712,1832,1757,1865,1961,2064,2196,2133,2268,2324,2424,2560,2618,2692,2739,2877,3071,3256,3448,3625,3848,4090,4324,4701,5076,5406,5858,6223
"계","15 - 64세",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16979,17469,18053,18372,18590,19155,19675,20059,20349,19105,19373,20175,20551,21088,21098,21453,21545,21817,22080,22252,22135,22480,22920,23222,23449,23944,24192,24342,24559,24511,24585,24130,24280,24824,24891
"계","15 - 24세",-,-,-,-,-,-,-,-,-,-,2805,2725,2712,2555,2399,2322,2389,2420,2322,2390,2464,2729,2687,2575,2599,2585,2508,2366,1970,1962,2047,2053,2104,2022,1999,1864,1674,1557,1400,1334,1356,1395,1471,1476,1582,1647,1646,1615,1496,1470,1343,1390,1434,1365
"남자","계",6104,6305,6578,6832,7198,7431,7668,8068,8315,8383,8462,8679,8757,8819,8894,9137,9339,9741,10099,10409,10709,11120,11369,11490,11829,12147,12351,12483,11847,11954,12401,12609,12988,13090,13276,13323,13481,13712,13835,13840,14041,14333,14568,14745,15057,15156,15241,15368,15372,15463,15381,15548,15928,15952
"남자","15 - 29세",-,-,-,-,-,-,-,-,-,-,2621,2675,2783,2697,2697,2670,2690,2722,2643,2668,2645,2934,2880,2772,2828,2868,2826,2760,2464,2423,2495,2420,2388,2278,2230,2136,2064,2038,1964,1898,1864,1870,1828,1780,1812,1849,1873,1862,1861,1921,1826,1844,1896,1854
"남자","15 - 19세",668,603,723,762,728,693,706,754,666,539,476,426,391,323,290,276,269,285,231,249,222,212,212,184,185,167,157,152,137,163,188,166,141,117,116,110,88,95,82,72,83,96,99,99,111,110,113,114,91,91,72,72,73,67
"남자","20 - 29세",1234,1294,1415,1481,1575,1732,1856,1896,1954,2029,2145,2249,2392,2374,2407,2394,2421,2436,2412,2419,2423,2723,2668,2589,2643,2702,2669,2607,2327,2260,2307,2255,2247,2161,2115,2027,1976,1944,1882,1826,1782,1774,1729,1681,1701,1739,1760,1748,1770,1830,1754,1772,1823,1786
"남자","30 - 39세",1813,1909,1948,2008,2087,2141,2136,2333,2382,2380,2359,2375,2386,2486,2500,2674,2792,2966,3119,3165,3301,3682,3814,3917,4007,4080,4109,4112,3909,3887,3956,3965,4009,4030,4017,3983,3949,3913,3882,3776,3764,3742,3731,3680,3655,3600,3530,3488,3422,3362,3273,3212,3196,3158
"남자","40 - 49세",1354,1354,1330,1350,1454,1511,1571,1730,1868,1936,1971,2034,1986,2027,2077,2068,2063,2156,2262,2322,2381,2251,2302,2359,2458,2598,2743,2845,2811,2937,3151,3321,3506,3648,3731,3764,3830,3888,3930,3923,3948,3976,4003,4019,4091,4064,4026,3998,3931,3839,3762,3746,3743,3677
"남자","50 - 59세",745,806,833,879,962,967,955,971,1019,1045,1053,1097,1094,1098,1121,1194,1249,1305,1452,1598,1682,1580,1641,1680,1706,1710,1723,1756,1688,1701,1752,1784,1877,1947,2029,2131,2262,2413,2554,2682,2861,3058,3225,3375,3504,3548,3597,3671,3665,3675,3663,3686,3763,3773
"남자","60세이상",290,339,329,352,392,387,444,384,426,454,458,499,509,512,501,532,546,592,625,655,700,673,731,761,830,891,951,1010,975,1005,1048,1120,1208,1188,1268,1309,1377,1461,1505,1562,1604,1688,1782,1891,1996,2095,2216,2349,2494,2666,2858,3059,3330,3492
"남자","15 - 64세",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10087,10366,10786,11015,11124,11442,11745,11926,12026,11391,11461,11878,12045,12367,12476,12599,12616,12724,12894,12992,12972,13167,13429,13599,13701,13958,14033,14072,14161,14078,14058,13854,13884,14086,14001
"남자","15 - 24세",-,-,-,-,-,-,-,-,-,-,1340,1314,1296,1140,1082,1000,992,972,887,908,907,1038,1033,958,999,993,972,908,748,761,796,773,801,764,765,693,633,599,523,501,508,542,587,602,652,684,681,665,595,616,556,559,583,559
"여자","계",3513,3641,3801,4110,4223,4261,4744,4744,5097,5219,5222,5345,5622,5686,5535,5833,6165,6613,6771,7152,7376,7529,7639,7745,8020,8267,8502,8731,8090,8337,8772,9005,9243,9131,9406,9508,9707,9849,9940,9847,9992,10193,10387,10554,10840,11022,11168,11356,11450,11660,11523,11725,12161,12464
"여자","15 - 29세",-,-,-,-,-,-,-,-,-,-,1926,1898,1988,2014,1959,2032,2144,2268,2268,2341,2377,2562,2541,2507,2521,2575,2595,2590,2269,2268,2386,2408,2434,2366,2380,2349,2267,2228,2174,2094,2066,2037,2009,1948,1990,2016,2035,2045,2043,2024,1937,2033,2100,2045
"여자","15 - 19세",619,578,653,720,724,695,730,703,680,639,559,483,430,401,363,359,363,394,367,363,358,357,316,294,271,254,242,233,194,188,200,191,170,154,142,132,116,110,106,107,124,132,134,126,135,135,131,133,114,107,90,99,105,96
"여자","20 - 29세",817,816,800,863,922,984,1146,1174,1288,1331,1367,1415,1558,1613,1596,1673,1781,1875,1901,1978,2019,2205,2225,2213,2250,2320,2352,2357,2075,2080,2186,2217,2263,2212,2237,2218,2150,2118,2068,1988,1942,1905,1875,1823,1855,1881,1904,1912,1929,1917,1847,1934,1995,1950
"여자","30 - 39세",832,901,917,965,947,920,1004,1040,1081,1114,1109,1097,1180,1213,1214,1316,1421,1563,1612,1683,1759,1934,1965,2056,2144,2159,2236,2284,2108,2131,2188,2219,2237,2203,2237,2224,2303,2275,2251,2136,2156,2138,2153,2161,2150,2129,2142,2155,2160,2168,2091,2045,2107,2199
"여자","40 - 49세",709,732,787,842,877,885,986,1051,1162,1181,1216,1305,1310,1310,1260,1298,1317,1371,1415,1491,1529,1393,1413,1477,1561,1674,1770,1868,1834,1952,2134,2252,2365,2403,2510,2543,2613,2673,2700,2697,2707,2743,2746,2753,2806,2827,2807,2785,2735,2665,2584,2564,2570,2583
"여자","50 - 59세",388,433,465,501,533,566,619,567,649,686,713,764,846,839,781,840,883,952,1009,1092,1134,1087,1120,1107,1137,1147,1140,1167,1098,1127,1150,1180,1219,1214,1281,1377,1478,1574,1702,1791,1927,2087,2191,2328,2443,2520,2553,2631,2681,2769,2693,2735,2856,2905
"여자","60세이상",148,181,179,219,220,211,259,209,237,268,257,281,300,311,321,347,401,459,466,545,577,553,600,597,656,712,761,822,782,860,914,945,988,945,999,1015,1047,1099,1113,1130,1135,1189,1289,1364,1452,1531,1632,1741,1830,2034,2218,2347,2527,2732
"여자","15 - 64세",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6891,7103,7267,7357,7466,7713,7930,8133,8324,7715,7911,8297,8506,8721,8622,8854,8929,9093,9186,9260,9163,9313,9492,9623,9748,9986,10160,10269,10399,10433,10527,10277,10397,10738,10891
"여자","15 - 24세",-,-,-,-,-,-,-,-,-,-,1465,1412,1416,1416,1317,1322,1398,1447,1435,1482,1557,1690,1654,1617,1600,1592,1536,1459,1221,1201,1251,1280,1302,1258,1234,1171,1041,958,877,833,849,854,884,873,930,963,966,950,901,854,787,831,851,805
